,precos,bairros,tamanhos,quartos,banheiros,vagas
1068,R$ 750.000,"Jardim Colonial, Bauru",374 m² tot.,3 quartos,2 ban.,4 vagas
1069,R$ 170.000,"Alto Higienópolis, Bauru",80 m² tot.,3 quartos,1 banheiro,2 vagas
1070,R$ 380.000,"Alto Higienópolis, Bauru",185 m² tot.,3 quartos,1 banheiro,3 vagas
1071,R$ 600.000,"Alto Higienópolis, Bauru",240 m² tot.,3 quartos,1 banheiro,4 vagas
1072,R$ 300.000,"Vila Independência, Bauru",190 m² tot.,3 quartos,1 banheiro,3 vagas
1073,R$ 385.000,"Jardim Panorama, Bauru",150 m² tot.,3 quartos,1 banheiro,3 vagas
1074,R$ 390.000,"Alto Higienópolis, Bauru",213 m² tot.,2 quartos,1 banheiro,4 vagas
1075,R$ 850.000,"Jardim Solange, Bauru",300 m² tot.,4 quartos,4 ban.,2 vagas
1076,R$ 508.800,"Jardim Flórida, Bauru",275 m² tot.,4 quartos,3 ban.,4 vagas
1077,R$ 490.000,"Alto Higienópolis, Bauru",400 m² tot.,2 quartos,1 banheiro,2 vagas
1078,R$ 380.000,"Alto Higienópolis, Bauru",216 m² tot.,3 quartos,2 ban.,2 vagas
1079,R$ 370.000,"Parque Jaraguá, Bauru",250 m² tot.,2 quartos,2 ban.,2 vagas
1080,R$ 320.000,"Parque Roosevelt, Bauru",137 m² tot.,2 quartos,2 ban.,2 vagas
1081,R$ 200.000,"Jardim Ivone, Bauru",126 m² tot.,2 quartos,1 banheiro,2 vagas
1082,R$ 330.000,"Parque Viaduto, Bauru",178 m² tot.,3 quartos,1 banheiro,2 vagas
1083,R$ 650.000,"Núcleo Eldorado, Bauru",250 m² tot.,2 quartos,1 banheiro,4 vagas
1084,R$ 300.000,"Parque Roosevelt, Bauru",170 m² tot.,2 quartos,2 ban.,2 vagas
1085,R$ 600.000,"Quinta Ranieri, Bauru",300 m² tot.,2 quartos,2 ban.,2 vagas
1086,R$ 350.000,"Parque Hipódromo, Bauru",181 m² tot.,3 quartos,2 ban.,2 vagas
1087,R$ 265.000,"Parque Jaraguá, Bauru",150 m² tot.,2 quartos,1 banheiro,2 vagas
1088,R$ 2.350.000,"Alto Higienópolis, Bauru",1350 m² tot.,4 quartos,5 ban.,2 vagas
1089,R$ 420.000,"Alto Higienópolis, Bauru",200 m² tot.,3 quartos,2 ban.,3 vagas
1090,R$ 1.450.000,"Alto Higienópolis, Bauru",450 m² tot.,,3 ban.,
1091,R$ 530.000,"Vila Lemos, Bauru",328 m² tot.,3 quartos,2 ban.,2 vagas
1092,R$ 370.000,"Alto Higienópolis, Bauru",242 m² tot.,3 quartos,1 banheiro,1 vaga
1093,R$ 450.000,"Núcleo Eldorado, Bauru",237 m² tot.,3 quartos,2 ban.,4 vagas
1094,R$ 550.000,"Jardim Flórida, Bauru",240 m² tot.,3 quartos,2 ban.,3 vagas
1095,R$ 350.000,"Vila Camargo, Bauru",324 m² tot.,3 quartos,1 banheiro,1 vaga
1096,R$ 455.000,"Vila Falcão, Bauru",484 m² tot.,7 quartos,2 ban.,10 vagas
1097,R$ 330.000,"Alto Higienópolis, Bauru",144 m² tot.,3 quartos,3 ban.,2 vagas
1098,R$ 550.000,"Vila Brunhari, Bauru",333 m² tot.,3 quartos,4 ban.,4 vagas
1099,R$ 250.000,"Jardim Prudência, Bauru",120 m² tot.,3 quartos,1 banheiro,3 vagas
1100,R$ 500.000,"Vila Souto, Bauru",180 m² tot.,3 quartos,3 ban.,2 vagas
1101,R$ 300.000,"Vila Independência, Bauru",170 m² tot.,3 quartos,1 banheiro,2 vagas
1102,R$ 330.000,"Jardim Prudência, Bauru",120 m² tot.,2 quartos,,3 vagas
1103,R$ 280.000,"Vila Falcão, Bauru",230 m² tot.,3 quartos,7 ban.,5 vagas
1104,R$ 329.000,"Jardim Eugênia, Bauru",229 m² tot.,2 quartos,2 ban.,1 vaga
1105,R$ 250.000,"Vila Cardia, Bauru",170 m² tot.,2 quartos,1 banheiro,1 vaga
1106,R$ 310.000,"Alto Higienópolis, Bauru",140 m² tot.,3 quartos,1 banheiro,2 vagas
1107,R$ 300.000,"Alto Higienópolis, Bauru",205 m² tot.,3 quartos,1 banheiro,2 vagas
1108,R$ 2.300.000,"Vila Aviação, Bauru",448 m² tot.,3 quartos,3 ban.,4 vagas
1109,R$ 390.000,"Vila Lemos, Bauru",250 m² tot.,2 quartos,1 banheiro,4 vagas
1110,R$ 2.770.000,"Alto Higienópolis, Bauru",678 m² tot.,3 quartos,6 ban.,4 vagas
1111,R$ 210.000,"Parque Jaraguá, Bauru",125 m² tot.,2 quartos,1 banheiro,2 vagas
1112,R$ 580.000,"Jardim Marambá, Bauru",363 m² tot.,3 quartos,2 ban.,6 vagas
1113,R$ 600.000,"Alto Higienópolis, Bauru",175 m² tot.,3 quartos,4 ban.,3 vagas
1114,R$ 1.400.000,"Alto Higienópolis, Bauru",350 m² tot.,4 quartos,5 ban.,6 vagas
1115,R$ 670.000,"Vila Santista, Bauru",145 m² tot.,3 quartos,2 ban.,2 vagas
1116,R$ 740.000,"Jardim Estoril, Bauru",363 m² tot.,6 quartos,5 ban.,4 vagas
1117,R$ 1.600.000,"Jardim Colonial, Bauru",300 m² tot.,4 quartos,3 ban.,2 vagas
1118,R$ 630.000,"Vila Carolina, Bauru",360 m² tot.,3 quartos,2 ban.,4 vagas
1119,R$ 350.000,"Parque Viaduto, Bauru",204 m² tot.,3 quartos,1 banheiro,2 vagas
1120,R$ 638.000,"Parque Paulistano, Bauru",264 m² tot.,3 quartos,2 ban.,4 vagas
1121,R$ 1.200.000,"Vila Coralina, Bauru",1000 m² tot.,4 quartos,2 ban.,5 vagas
1122,R$ 1.500.000,"Vila Mariana, Bauru",352 m² tot.,15 quartos,2 ban.,2 vagas
1123,R$ 217.090,"Vila Souto, Bauru",181 m² tot.,2 quartos,1 banheiro,1 vaga
1124,R$ 195.000,"Vila Industrial, Bauru",175 m² tot.,3 quartos,1 banheiro,1 vaga
1125,R$ 265.000,"Jardim Eldorado, Bauru",200 m² tot.,4 quartos,2 ban.,2 vagas
1126,R$ 450.000,"Vila Lemos, Bauru",363 m² tot.,3 quartos,3 ban.,1 vaga
1127,R$ 1.400.000,"Residencial Tavano, Bauru",300 m² tot.,3 quartos,5 ban.,4 vagas
1128,R$ 320.000,"Tangarás, Bauru",360 m² tot.,2 quartos,2 ban.,5 vagas
1129,R$ 250.000,"Centro, Bauru",189 m² tot.,3 quartos,2 ban.,2 vagas
1130,R$ 550.000,"Centro, Bauru",363 m² tot.,3 quartos,4 ban.,4 vagas
1131,R$ 3.200.000,"Bauru, São Paulo",456 m² tot.,5 quartos,6 ban.,3 vagas
1132,R$ 1.850.000,"Bauru, São Paulo",360 m² tot.,,,
1133,R$ 2.700.000,"Centro, Bauru",1200 m² tot.,8 quartos,9 ban.,8 vagas
1134,R$ 300.000,"Jardim Vânia Maria, Bauru",143 m² tot.,2 quartos,1 banheiro,2 vagas
1135,R$ 350.000,"Residencial Jardim Jussara, Bauru",340 m² tot.,2 quartos,2 ban.,4 vagas
1136,R$ 1.700.000,"Residencial Tivoli II, Bauru",360 m² tot.,3 quartos,5 ban.,4 vagas
1137,R$ 430.000,"Parque das Nações, Bauru",200 m² tot.,3 quartos,2 ban.,4 vagas
1138,R$ 350.000,"Núcleo Habitacional José Regino, Bauru",157 m² tot.,2 quartos,2 ban.,4 vagas
1139,R$ 285.000,"Jardim Cruzeiro do Sul, Bauru",480 m² tot.,3 quartos,2 ban.,2 vagas
1140,R$ 670.000,"Parque Vista Alegre, Bauru",250 m² tot.,3 quartos,3 ban.,2 vagas
1141,R$ 490.000,"Parque São João, Bauru",181 m² tot.,3 quartos,2 ban.,2 vagas
1142,R$ 850.000,"Jardim Cruzeiro do Sul, Bauru",484 m² tot.,5 quartos,4 ban.,4 vagas
1143,R$ 399.000,"Jardim Gerson França, Bauru",250 m² tot.,3 quartos,2 ban.,2 vagas
1144,R$ 380.000,"Jardim Terra Branca, Bauru",148 m² tot.,3 quartos,1 banheiro,2 vagas
1145,R$ 457.000,"Chácara das Flores, Bauru",100 m² tot.,3 quartos,2 ban.,3 vagas
1146,R$ 4.250.000,"Residencial Lago Sul, Bauru",450 m² tot.,3 quartos,7 ban.,3 vagas
1147,R$ 5.000.000,"Jardim Shangri-Lá, Bauru",800 m² tot.,4 quartos,4 ban.,4 vagas
1148,R$ 310.000,"Núcleo Habitacional Mary Dota, Bauru",196 m² tot.,3 quartos,1 banheiro,3 vagas
1149,R$ 460.000,"Jardim Cruzeiro do Sul, Bauru",230 m² tot.,3 quartos,1 banheiro,2 vagas
1150,R$ 400.000,"Jardim Bela Vista, Bauru",133 m² tot.,3 quartos,2 ban.,2 vagas
1151,R$ 350.000,"Jardim Vânia Maria, Bauru",202 m² tot.,2 quartos,1 banheiro,5 vagas
1152,R$ 450.000,"Vila Santo Antônio, Bauru",314 m² tot.,3 quartos,2 ban.,2 vagas
1153,R$ 470.000,"Núcleo Residencial Presidente Geisel, Bauru",208 m² tot.,3 quartos,2 ban.,2 vagas
1154,R$ 550.000,"Vila Santa Tereza, Bauru",363 m² tot.,4 quartos,2 ban.,3 vagas
1155,R$ 310.000,"Núcleo Residencial Perdizes, Bauru",200 m² tot.,2 quartos,2 ban.,3 vagas
1156,R$ 558.000,"Jardim Bela Vista, Bauru",363 m² tot.,3 quartos,2 ban.,4 vagas
1157,R$ 450.000,"Jardim Vânia Maria, Bauru",250 m² tot.,5 quartos,3 ban.,2 vagas
1158,R$ 380.000,"Jardim Cruzeiro do Sul, Bauru",250 m² tot.,3 quartos,1 banheiro,3 vagas
1159,R$ 980.000,"Jardim Estoril IV, Bauru",290 m² tot.,3 quartos,1 banheiro,4 vagas
1160,R$ 300.000,"Novo Jardim Pagani, Bauru",375 m² tot.,3 quartos,1 banheiro,2 vagas
1161,R$ 1.560.000,"Samambaia Parque Residencial, Bauru",560 m² tot.,4 quartos,4 ban.,4 vagas
1162,R$ 390.000,"Parque Residencial Jardim Araruna, Bauru",200 m² tot.,3 quartos,2 ban.,3 vagas
1163,R$ 300.000,"Jardim Vânia Maria, Bauru",143 m² tot.,2 quartos,1 banheiro,2 vagas
1164,R$ 350.000,"Residencial Jardim Jussara, Bauru",340 m² tot.,2 quartos,2 ban.,4 vagas
1165,R$ 1.700.000,"Residencial Tivoli II, Bauru",360 m² tot.,3 quartos,5 ban.,4 vagas
1166,R$ 430.000,"Parque das Nações, Bauru",200 m² tot.,3 quartos,2 ban.,4 vagas
1167,R$ 350.000,"Núcleo Habitacional José Regino, Bauru",157 m² tot.,2 quartos,2 ban.,4 vagas
1168,R$ 320.000,"Novo Jardim Pagani, Bauru",270 m² tot.,3 quartos,3 ban.,2 vagas
1169,R$ 660.000,"Parque Jardim Europa, Bauru",385 m² tot.,3 quartos,1 banheiro,2 vagas
1170,R$ 250.000,"Jardim das Orquídeas, Bauru",258 m² tot.,2 quartos,1 banheiro,2 vagas
1171,R$ 400.000,"Jardim Bela Vista, Bauru",133 m² tot.,3 quartos,2 ban.,2 vagas
1172,R$ 2.800.000,"Jardim Shangri-Lá, Bauru",5000 m² tot.,4 quartos,3 ban.,6 vagas
1173,R$ 1.500.000,"Residencial Tivoli II, Bauru",360 m² tot.,3 quartos,3 ban.,2 vagas
1174,R$ 160.000,"Jardim Nova Esperança, Bauru",176 m² tot.,2 quartos,1 banheiro,1 vaga
1175,R$ 350.000,"Parque das Nações, Bauru",208 m² tot.,1 quarto,1 banheiro,3 vagas
1176,R$ 850.000,"Vila Cidade Universitária, Bauru",412 m² tot.,4 quartos,5 ban.,4 vagas
1177,R$ 350.000,"Jardim Vânia Maria, Bauru",202 m² tot.,2 quartos,1 banheiro,5 vagas
1178,R$ 350.000,"Jardim Bela Vista, Bauru",191 m² tot.,2 quartos,1 banheiro,2 vagas
1179,R$ 450.000,"Vila Santo Antônio, Bauru",314 m² tot.,3 quartos,2 ban.,2 vagas
1180,R$ 470.000,"Núcleo Residencial Presidente Geisel, Bauru",208 m² tot.,3 quartos,2 ban.,2 vagas
1181,R$ 3.000.000,"Jardim Shangri-Lá, Bauru",4497 m² tot.,3 quartos,4 ban.,3 vagas
1182,R$ 1.200.000,"Vila Guedes de Azevedo, Bauru",379 m² tot.,4 quartos,3 ban.,5 vagas
1183,R$ 320.000,"Distrito Industrial Domingos Biancardi, Bauru",73 m² tot.,2 quartos,2 ban.,2 vagas
1184,R$ 390.000,"Jardim Bela Vista, Bauru",154 m² tot.,3 quartos,1 banheiro,2 vagas
1185,R$ 2.200.000,"Vila Aviação B, Bauru",482 m² tot.,3 quartos,5 ban.,2 vagas
1186,R$ 380.000,"Jardim Gerson França, Bauru",300 m² tot.,3 quartos,1 banheiro,2 vagas
1187,R$ 2.100.000,"Jardim Estoril II, Bauru",600 m² tot.,4 quartos,3 ban.,2 vagas
1188,R$ 1.600.000,"Samambaia Parque Residencial, Bauru",433 m² tot.,3 quartos,1 banheiro,4 vagas
1189,R$ 420.000,"Vila Nova Paulista, Bauru",363 m² tot.,4 quartos,1 banheiro,5 vagas
1190,R$ 180.000,"Vila São Paulo, Bauru",50 m² tot.,2 quartos,1 banheiro,2 vagas
1191,R$ 370.000,"Jardim Vânia Maria, Bauru",240 m² tot.,3 quartos,1 banheiro,3 vagas
1192,R$ 550.000,"Vila Santa Tereza, Bauru",363 m² tot.,4 quartos,2 ban.,3 vagas
1193,R$ 400.000,"Jardim Vânia Maria, Bauru",408 m² tot.,3 quartos,2 ban.,3 vagas
1194,R$ 310.000,"Núcleo Residencial Perdizes, Bauru",200 m² tot.,2 quartos,2 ban.,3 vagas
1195,R$ 590.000,"Jardim Vânia Maria, Bauru",275 m² tot.,3 quartos,2 ban.,4 vagas
1196,R$ 320.000,"Parque Júlio Nóbrega, Bauru",200 m² tot.,2 quartos,1 banheiro,2 vagas
1197,R$ 370.000,"Núcleo Habitacional José Regino, Bauru",273 m² tot.,3 quartos,2 ban.,2 vagas
1198,R$ 400.000,"Núcleo Habitacional Mary Dota, Bauru",200 m² tot.,3 quartos,3 ban.,3 vagas
1199,R$ 558.000,"Jardim Bela Vista, Bauru",363 m² tot.,3 quartos,2 ban.,4 vagas
1200,R$ 2.100.000,"Jardim Estoril II, Bauru",600 m² tot.,4 quartos,3 ban.,2 vagas
1201,R$ 420.000,"Vila Nova Paulista, Bauru",363 m² tot.,4 quartos,1 banheiro,5 vagas
1202,R$ 370.000,"Jardim Vânia Maria, Bauru",240 m² tot.,3 quartos,1 banheiro,3 vagas
1203,R$ 400.000,"Jardim Vânia Maria, Bauru",408 m² tot.,3 quartos,2 ban.,3 vagas
1204,R$ 590.000,"Jardim Vânia Maria, Bauru",275 m² tot.,3 quartos,2 ban.,4 vagas
1205,R$ 320.000,"Parque Júlio Nóbrega, Bauru",200 m² tot.,2 quartos,1 banheiro,2 vagas
1206,R$ 370.000,"Núcleo Habitacional José Regino, Bauru",273 m² tot.,3 quartos,2 ban.,2 vagas
1207,R$ 400.000,"Núcleo Habitacional Mary Dota, Bauru",200 m² tot.,3 quartos,3 ban.,3 vagas
1208,R$ 399.900,"Parque Vista Alegre, Bauru",125 m² tot.,3 quartos,2 ban.,2 vagas
1209,R$ 400.000,"Parque Júlio Nóbrega, Bauru",200 m² tot.,3 quartos,1 banheiro,5 vagas
1210,R$ 450.000,"Parque Júlio Nóbrega, Bauru",253 m² tot.,3 quartos,1 banheiro,2 vagas
1211,R$ 350.000,"Vila Bom Jesus, Bauru",125 m² tot.,2 quartos,2 ban.,3 vagas
1212,R$ 650.000,"Parque São João, Bauru",308 m² tot.,5 quartos,4 ban.,2 vagas
1213,R$ 350.000,"Jardim Gerson França, Bauru",338 m² tot.,3 quartos,2 ban.,6 vagas
1214,R$ 450.000,"Núcleo Residencial Presidente Geisel, Bauru",200 m² tot.,4 quartos,4 ban.,3 vagas
1215,R$ 160.000,"Vila São Paulo, Bauru",45 m² tot.,2 quartos,1 banheiro,1 vaga
1216,R$ 850.000,"Jardim Cruzeiro do Sul, Bauru",330 m² tot.,3 quartos,2 ban.,4 vagas
1217,R$ 240.000,"Jardim Nova Esperança, Bauru",120 m² tot.,3 quartos,1 banheiro,1 vaga
1218,R$ 600.000,"Jardim Bela Vista, Bauru",200 m² tot.,3 quartos,1 banheiro,2 vagas
1219,R$ 350.000,"Núcleo Residencial Presidente Geisel, Bauru",200 m² tot.,2 quartos,1 banheiro,2 vagas
1220,R$ 2.300.000,"Residencial Villa Lobos, Bauru",525 m² tot.,4 quartos,6 ban.,3 vagas
1221,R$ 250.000,"Núcleo Residencial Beija-Flor, Bauru",200 m² tot.,3 quartos,1 banheiro,2 vagas
1222,R$ 270.000,"Parque Santa Edwiges, Bauru",180 m² tot.,2 quartos,1 banheiro,2 vagas
1223,R$ 199.000,"Núcleo Habitacional Nobuji Nagasawa, Bauru",60 m² tot.,2 quartos,1 banheiro,1 vaga
1224,R$ 300.000,"Núcleo Residencial Alto Alegre, Bauru",200 m² tot.,3 quartos,2 ban.,3 vagas
1225,R$ 799.000,"Parque Jardim Europa, Bauru",363 m² tot.,3 quartos,3 ban.,5 vagas
1226,R$ 1.600.000,"Samambaia Parque Residencial, Bauru",560 m² tot.,4 quartos,2 ban.,4 vagas
1227,R$ 395.000,"Jardim Bela Vista, Bauru",121 m² tot.,3 quartos,3 ban.,3 vagas
1228,R$ 460.000,"Vila Alto Paraíso, Bauru",94 m² tot.,3 quartos,2 ban.,4 vagas
1229,R$ 200.000,"Parque Santa Edwiges, Bauru",95 m² tot.,3 quartos,2 ban.,2 vagas
1230,R$ 550.000,"Jardim Bela Vista, Bauru",120 m² tot.,2 quartos,1 banheiro,1 vaga
1231,R$ 350.000,"Jardim Ouro Verde, Bauru",300 m² tot.,3 quartos,1 banheiro,2 vagas
1232,R$ 580.000,"Vila Silva Pinto, Bauru",230 m² tot.,2 quartos,2 ban.,2 vagas
1233,R$ 3.800.000,"Jardim Shangri-Lá, Bauru",3000 m² tot.,4 quartos,3 ban.,5 vagas
1234,R$ 240.000,"Parque Val de Palmas, Bauru",150 m² tot.,3 quartos,2 ban.,1 vaga
1235,R$ 179.510,"Peruíbe, São Paulo",250 m² tot.,3 quartos,2 ban.,4 vagas
1236,R$ 2.350.000,"Residencial Villaggio, Bauru",360 m² tot.,3 quartos,5 ban.,4 vagas
1237,R$ 280.000,"Alto Higienópolis, Bauru",208 m² tot.,2 quartos,2 ban.,2 vagas
1238,R$ 1.550.000,"Jardim Estoril, Bauru",420 m² tot.,3 quartos,5 ban.,8 vagas
1239,R$ 270.000,"Parque Paulista, Bauru",135 m² tot.,2 quartos,1 banheiro,2 vagas
1240,R$ 410.000,"Núcleo Eldorado, Bauru",238 m² tot.,3 quartos,3 ban.,2 vagas
1241,R$ 349.000,"Alto Higienópolis, Bauru",205 m² tot.,2 quartos,2 ban.,3 vagas
1242,R$ 5.199.120,"Bauru, São Paulo",720 m² tot.,4 quartos,4 ban.,4 vagas
1243,R$ 449.760,"Centro, Bauru",200 m² tot.,3 quartos,4 ban.,1 vaga
1244,R$ 209.200,"Madureira, Bauru",137 m² tot.,1 quarto,1 banheiro,2 vagas
1245,R$ 1.749.030,"Bauru, São Paulo",360 m² tot.,3 quartos,4 ban.,4 vagas
1246,R$ 2.499.810,"Bauru, São Paulo",320 m² tot.,3 quartos,5 ban.,2 vagas
1247,R$ 209.660,"Bauru, São Paulo",47 m² tot.,2 quartos,1 banheiro,2 vagas
1248,R$ 3.199.350,"Bauru, São Paulo",456 m² tot.,5 quartos,6 ban.,3 vagas
1249,R$ 379.850,"Centro, Bauru",,1 quarto,1 banheiro,1 vaga
1250,R$ 369.340,"Bauru, São Paulo",252 m² tot.,2 quartos,1 banheiro,3 vagas
1251,R$ 419.230,"Bauru, São Paulo",216 m² tot.,2 quartos,2 ban.,4 vagas
1252,R$ 329.630,"Bauru, São Paulo",145 m² tot.,4 quartos,3 ban.,2 vagas
1253,R$ 2.299.740,"Bauru, São Paulo",484 m² tot.,3 quartos,4 ban.,4 vagas
1254,R$ 129.610,"Bauru, São Paulo",150 m² tot.,2 quartos,2 ban.,3 vagas
1255,R$ 379.010,"Bauru, São Paulo",228 m² tot.,3 quartos,3 ban.,2 vagas
1256,R$ 208.260,"Tangarás, Bauru",180 m² tot.,2 quartos,1 banheiro,2 vagas
1257,R$ 569.820,"Bauru, São Paulo",224 m² tot.,2 quartos,3 ban.,3 vagas
1258,R$ 488.100,"Bauru, São Paulo",250 m² tot.,3 quartos,2 ban.,2 vagas
1259,R$ 449.690,"Centro, Bauru",135 m² tot.,3 quartos,3 ban.,2 vagas
1260,R$ 285.000,"Jardim Terra Branca, Bauru",200 m² tot.,3 quartos,1 banheiro,2 vagas
1261,R$ 290.000,"Jardim José Kalil, Bauru",150 m² tot.,2 quartos,2 ban.,
1262,R$ 380.000,"Vila São Paulo, Bauru",251 m² tot.,4 quartos,2 ban.,5 vagas
1263,R$ 800.000,"Jardim Cruzeiro do Sul, Bauru",726 m² tot.,3 quartos,3 ban.,6 vagas
1264,R$ 1.980.000,"Jardim Estoril II, Bauru",634 m² tot.,4 quartos,6 ban.,3 vagas
1265,R$ 850.000,"Vila Nova Santa Clara, Bauru",484 m² tot.,4 quartos,3 ban.,6 vagas
1266,R$ 565.000,"Jardim Terra Branca, Bauru",260 m² tot.,3 quartos,2 ban.,
1267,R$ 350.000,"Vale do Igapó, Bauru",300 m² tot.,2 quartos,2 ban.,
1268,R$ 650.000,"Jardim Bela Vista, Bauru",250 m² tot.,3 quartos,3 ban.,
1269,R$ 680.000,"Vila Alto Paraíso, Bauru",504 m² tot.,5 quartos,4 ban.,5 vagas
1270,R$ 924.700,"Jardim Aeroporto, Bauru",242 m² tot.,3 quartos,2 ban.,2 vagas
1271,R$ 319.840,"Vila Industrial, Bauru",160 m² tot.,3 quartos,3 ban.,4 vagas
1272,R$ 539.670,"Jardim Solange, Bauru",70 m² tot.,3 quartos,2 ban.,2 vagas
1273,R$ 229.110,"Parque Jaraguá, Bauru",134 m² tot.,2 quartos,1 banheiro,2 vagas
1274,R$ 219.870,"Jardim Andorfato, Bauru",129 m² tot.,1 quarto,1 banheiro,2 vagas
1275,R$ 340.000,"Vila Falcão, Bauru",163 m² tot.,3 quartos,2 ban.,2 vagas
1276,R$ 549.190,"Jardim América, Bauru",407 m² tot.,3 quartos,2 ban.,2 vagas
1277,R$ 429.500,"Jardim Jandira, Bauru",140 m² tot.,3 quartos,2 ban.,2 vagas
1278,R$ 449.860,"Vila Formosa, Bauru",180 m² tot.,2 quartos,2 ban.,2 vagas
1279,R$ 319.080,"Vila Giunta, Bauru",135 m² tot.,3 quartos,2 ban.,2 vagas
1280,R$ 370.000,"Vila Carvalho, Bauru",188 m² tot.,3 quartos,2 ban.,2 vagas
1281,R$ 2.759.290,"Residencial Tivoli, Bauru",900 m² tot.,5 quartos,7 ban.,5 vagas
1282,R$ 319.810,"Vila Industrial, Bauru",250 m² tot.,3 quartos,2 ban.,2 vagas
1283,R$ 344.210,"Jardim Andorfato, Bauru",126 m² tot.,2 quartos,2 ban.,2 vagas
1284,R$ 479.820,"Jardim Ferraz, Bauru",256 m² tot.,3 quartos,2 ban.,2 vagas
1285,R$ 169.730,"Jardim Jandira, Bauru",125 m² tot.,1 quarto,1 banheiro,4 vagas
1286,R$ 229.710,"Vila Seabra, Bauru",200 m² tot.,2 quartos,2 ban.,4 vagas
1287,R$ 214.120,"Vila Dutra, Bauru",200 m² tot.,3 quartos,2 ban.,2 vagas
1288,R$ 899.780,"Jardim Flórida, Bauru",550 m² tot.,3 quartos,5 ban.,4 vagas
1289,R$ 274.560,"Parque Viaduto, Bauru",133 m² tot.,2 quartos,2 ban.,4 vagas
1290,R$ 1.239.230,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,4 ban.,2 vagas
1291,R$ 164.520,"Jardim Ivone, Bauru",126 m² tot.,2 quartos,1 banheiro,2 vagas
1292,R$ 529.460,"Vila Pacífico, Bauru",336 m² tot.,3 quartos,2 ban.,2 vagas
1293,R$ 598.140,"Jardim Ferraz, Bauru",148 m² tot.,3 quartos,2 ban.,2 vagas
1294,R$ 719.999.200,"Vila Paraíso, Bauru",236 m² tot.,3 quartos,3 ban.,4 vagas
1295,R$ 979.460,"Jardim Marambá, Bauru",300 m² tot.,3 quartos,4 ban.,4 vagas
1296,R$ 1.099.760,"Vila Brunhari, Bauru",348 m² tot.,5 quartos,2 ban.,4 vagas
1297,R$ 379.520,"Vila Cardia, Bauru",,1 quarto,1 banheiro,1 vaga
1298,R$ 479.090,"Cidade Jardim, Bauru",370 m² tot.,3 quartos,4 ban.,3 vagas
1299,R$ 444.460,"Vila Lemos, Bauru",200 m² tot.,3 quartos,2 ban.,1 vaga
1300,R$ 319.810,"Parque União, Bauru",121 m² tot.,3 quartos,2 ban.,2 vagas
1301,R$ 419.880,"Jardim Solange, Bauru",174 m² tot.,2 quartos,2 ban.,2 vagas
1302,R$ 339.410,"Jardim Eugênia, Bauru",202 m² tot.,3 quartos,2 ban.,2 vagas
1303,R$ 349.750,"Jardim Eldorado, Bauru",407 m² tot.,5 quartos,3 ban.,4 vagas
1304,R$ 264.870,"Jardim Ferraz, Bauru",150 m² tot.,2 quartos,2 ban.,2 vagas
1305,R$ 649.110,"Jardim Hojas, Bauru",250 m² tot.,3 quartos,2 ban.,2 vagas
1306,R$ 1.449.850,"Jardim Marabá, Bauru",450 m² tot.,3 quartos,4 ban.,4 vagas
1307,R$ 449.620,"Jardim Redentor, Bauru",200 m² tot.,2 quartos,2 ban.,3 vagas
1308,R$ 450.000,"Jardim Redentor, Bauru",200 m² tot.,2 quartos,2 ban.,3 vagas
1309,R$ 1.299.440,"Jardim Marabá, Bauru",450 m² tot.,3 quartos,3 ban.,2 vagas
1310,R$ 488.550,"Vila Lemos, Bauru",280 m² tot.,3 quartos,3 ban.,2 vagas
1311,R$ 578.050,"Jardim Brasil, Bauru",250 m² tot.,2 quartos,2 ban.,4 vagas
1312,R$ 349.100,"Parque Roosevelt, Bauru",360 m² tot.,3 quartos,1 banheiro,4 vagas
1313,R$ 349.830,"Jardim Redentor, Bauru",200 m² tot.,3 quartos,3 ban.,2 vagas
1314,R$ 397.230,"Vila Falcão, Bauru",420 m² tot.,3 quartos,2 ban.,4 vagas
1315,R$ 324.380,"Vila Industrial, Bauru",144 m² tot.,2 quartos,1 banheiro,2 vagas
1316,R$ 749.330,"Jardim Brasil, Bauru",242 m² tot.,3 quartos,3 ban.,2 vagas
1317,R$ 279.890,"Jardim Ferraz, Bauru",125 m² tot.,2 quartos,1 banheiro,2 vagas
1318,R$ 489.690,"Vila Independência, Bauru",400 m² tot.,4 quartos,4 ban.,3 vagas
1319,R$ 659.390,"Alto Higienópolis, Bauru",180 m² tot.,4 quartos,4 ban.,2 vagas
1320,R$ 444.460,"Vila Lemos, Bauru",200 m² tot.,3 quartos,2 ban.,1 vaga
1321,R$ 319.810,"Parque União, Bauru",121 m² tot.,3 quartos,2 ban.,2 vagas
1322,R$ 339.410,"Jardim Eugênia, Bauru",202 m² tot.,3 quartos,2 ban.,2 vagas
1323,R$ 349.750,"Jardim Eldorado, Bauru",407 m² tot.,5 quartos,3 ban.,4 vagas
1324,R$ 264.870,"Jardim Ferraz, Bauru",150 m² tot.,2 quartos,2 ban.,2 vagas
1325,R$ 449.620,"Jardim Redentor, Bauru",200 m² tot.,2 quartos,2 ban.,3 vagas
1326,R$ 450.000,"Jardim Redentor, Bauru",200 m² tot.,2 quartos,2 ban.,3 vagas
1327,R$ 1.299.440,"Jardim Marabá, Bauru",450 m² tot.,3 quartos,3 ban.,2 vagas
1328,R$ 1.299.800,"Quinta Ranieri, Bauru",440 m² tot.,3 quartos,4 ban.,2 vagas
