,Unnamed: 0,precos,tamanhos,quartos,banheiros,vagas,bairros_preco_medio
3053,3053,250000.0,251.0,2.0,1.0,1.0,347615.3846153846
3054,3054,430000.0,242.0,3.0,3.0,3.0,520996.43209876545
3055,3055,496000.0,300.0,2.0,4.0,4.0,350808.51851851854
3056,3056,360000.0,288.0,2.0,2.0,4.0,369087.77777777775
3057,3057,980000.0,510.0,3.0,3.0,6.0,779855.1063829787
3058,3058,490000.0,216.0,3.0,1.0,4.0,396742.0
3059,3059,280000.0,198.0,2.0,2.0,2.0,359570.0
3060,3060,370000.0,431.0,2.0,2.0,4.0,181915.88
3061,3061,1850000.0,450.0,3.0,4.0,4.0,1295663.5714285714
3062,3062,300000.0,200.0,3.0,2.0,4.0,305000.0
3063,3063,599000.0,220.0,3.0,3.0,2.0,725500.0
3064,3064,1280000.0,450.0,4.0,4.0,2.0,1337142.857142857
3065,3065,750000.0,300.0,3.0,3.0,4.0,400110.1818181818
3066,3066,1500000.0,360.0,3.0,4.0,3.0,1127162.7272727273
3067,3067,360000.0,129.0,3.0,1.0,2.0,415415.11627906974
3068,3068,1800000.0,560.0,4.0,6.0,4.0,2032942.75
3069,3069,999000.0,250.0,3.0,4.0,2.0,911629.2307692308
3070,3070,850000.0,280.0,3.0,4.0,2.0,779855.1063829787
3071,3071,550000.0,238.0,4.0,2.0,2.0,725500.0
3072,3072,450000.0,200.0,4.0,3.0,3.0,359570.0
3073,3073,380000.0,200.0,3.0,2.0,2.0,359570.0
3074,3074,390000.0,190.0,3.0,3.0,2.0,267878.9
3075,3075,750000.0,327.0,3.0,3.0,3.0,779855.1063829787
3076,3076,2500000.0,450.0,3.0,3.0,4.0,3575376.61971831
3077,3077,390000.0,250.0,3.0,3.0,2.0,343874.5833333333
3078,3078,600000.0,218.0,2.0,3.0,2.0,407702.85714285716
3079,3079,299000.0,203.0,3.0,1.0,2.0,469600.0
